ProductID   InventoryDate           OrderQty    UnitPrice             ReceivedQty                             RejectedQty                             StockedQty
1           2014-08-13 00:00:00.000 154         50,2635               3.00                                    3.00                                    0
2           2014-08-13 00:00:00.000 150         41,916                3.00                                    3.00                                    0
4           2014-08-13 00:00:00.000 153         57,0255               3.00                                    1.00                                    0
317         2014-08-14 00:00:00.000 44000       29,5785               550.00                                  550.00                                  4000
318         2014-08-14 00:00:00.000 44000       36,099                550.00                                  550.00                                  4090
319         2014-08-14 00:00:00.000 71500       48,5835               550.00                                  550.00                                  6990
320         2014-08-14 00:00:00.000 375         49,644                3.00                                    3.00                                    0
321         2014-08-14 00:00:00.000 375         44,3205               3.00                                    3.00                                    0
322         2014-08-14 00:00:00.000 7440        28,6965               60.00                                   9.00                                    741
323         2014-08-14 00:00:00.000 153         50,2635               3.00                                    3.00                                    0
325         2014-08-17 00:00:00.000 62500       0,21                  1250.00                                 1250.00                                 5829
326         2014-08-17 00:00:00.000 62500       0,21                  1250.00                                 1250.00                                 5893
332         2014-08-17 00:00:00.000 27500       10,815                550.00                                  550.00                                  2596
341         2014-08-17 00:00:00.000 177         47,5755               3.00                                    3.00                                    0
342         2014-08-17 00:00:00.000 177         45,4755               3.00                                    3.00                                    0
343         2014-08-15 00:00:00.000 174         49,749                3.00                                    0.00                                    0
344         2014-08-15 00:00:00.000 174         45,4755               3.00                                    0.00                                    0
345         2014-08-15 00:00:00.000 174         43,3755               3.00                                    0.00                                    0
346         2014-08-15 00:00:00.000 174         47,649                3.00                                    0.00                                    0
347         2014-08-17 00:00:00.000 171         43,3755               3.00                                    0.00                                    0
348         2014-08-17 00:00:00.000 171         41,2755               3.00                                    0.00                                    0
349         2014-08-17 00:00:00.000 171         45,549                3.00                                    0.00                                    0
351         2014-08-15 00:00:00.000 46200       6,195                 550.00                                  550.00                                  4339
352         2014-08-15 00:00:00.000 46200       1,47                  550.00                                  550.00                                  4423
355         2014-08-10 00:00:00.000 23100       1,365                 550.00                                  550.00                                  2174
356         2014-08-17 00:00:00.000 6060        3,6015                60.00                                   60.00                                   573
357         2014-08-17 00:00:00.000 6060        4,3155                60.00                                   60.00                                   575
358         2014-08-17 00:00:00.000 3000        6,9825                60.00                                   60.00                                   284
359         2014-08-02 00:00:00.000 72          47,6805               3.00                                    3.00                                    0
360         2014-08-02 00:00:00.000 72          45,5805               3.00                                    3.00                                    0
361         2014-08-08 00:00:00.000 72          49,854                3.00                                    0.00                                    0
362         2014-08-08 00:00:00.000 72          45,5805               3.00                                    0.00                                    0
363         2014-08-08 00:00:00.000 72          43,4805               3.00                                    0.00                                    0
364         2014-08-13 00:00:00.000 72          47,754                3.00                                    0.00                                    0
365         2014-08-13 00:00:00.000 72          43,4805               3.00                                    0.00                                    0
366         2014-08-02 00:00:00.000 69          41,3805               3.00                                    0.00                                    0
367         2014-08-02 00:00:00.000 69          45,654                3.00                                    0.00                                    0
368         2014-08-02 00:00:00.000 69          41,3805               3.00                                    0.00                                    0
369         2014-08-02 00:00:00.000 69          39,2805               3.00                                    0.00                                    0
370         2014-08-08 00:00:00.000 69          43,554                3.00                                    0.00                                    0
371         2014-08-08 00:00:00.000 69          39,2805               3.00                                    0.00                                    0
372         2014-08-08 00:00:00.000 69          37,1805               3.00                                    0.00                                    0
373         2014-08-13 00:00:00.000 69          41,454                3.00                                    0.00                                    0
374         2014-08-13 00:00:00.000 69          37,1805               3.00                                    0.00                                    0
375         2014-08-17 00:00:00.000 90          43,344                3.00                                    3.00                                    0
376         2014-08-17 00:00:00.000 90          47,544                3.00                                    3.00                                    0
377         2014-08-17 00:00:00.000 90          45,444                3.00                                    0.00                                    0
378         2014-08-17 00:00:00.000 90          41,244                3.00                                    0.00                                    0
379         2014-07-24 00:00:00.000 87          45,444                3.00                                    0.00                                    0
380         2014-07-30 00:00:00.000 87          43,344                3.00                                    0.00                                    0
381         2014-07-30 00:00:00.000 87          47,4915               3.00                                    0.00                                    0
382         2014-08-05 00:00:00.000 60          43,2705               3.00                                    0.00                                    0
383         2014-08-05 00:00:00.000 60          47,544                3.00                                    0.00                                    0
384         2014-08-05 00:00:00.000 60          43,2705               3.00                                    0.00                                    0
385         2014-08-05 00:00:00.000 60          43,218                3.00                                    0.00                                    0
386         2014-08-10 00:00:00.000 60          47,4915               3.00                                    0.00                                    0
387         2014-08-10 00:00:00.000 60          43,2705               3.00                                    0.00                                    0
388         2014-08-10 00:00:00.000 60          47,544                3.00                                    0.00                                    0
389         2014-08-15 00:00:00.000 60          43,344                3.00                                    0.00                                    0
390         2014-08-15 00:00:00.000 60          41,1705               3.00                                    0.00                                    0
391         2014-08-15 00:00:00.000 60          45,444                3.00                                    0.00                                    0
392         2014-08-15 00:00:00.000 60          41,244                3.00                                    0.00                                    0
393         2014-08-15 00:00:00.000 60          39,0705               3.00                                    0.00                                    0
394         2014-08-17 00:00:00.000 57          43,344                3.00                                    0.00                                    0
395         2014-08-17 00:00:00.000 57          47,4915               3.00                                    0.00                                    0
396         2014-08-17 00:00:00.000 57          43,2705               3.00                                    0.00                                    0
397         2014-08-17 00:00:00.000 57          47,544                3.00                                    0.00                                    0
402         2014-08-15 00:00:00.000 153         47,4705               3.00                                    0.00                                    0
403         2014-08-14 00:00:00.000 132         47,4705               3.00                                    3.00                                    0
404         2014-08-14 00:00:00.000 132         49,644                3.00                                    3.00                                    0
405         2014-08-15 00:00:00.000 132         49,644                3.00                                    0.00                                    0
406         2014-08-15 00:00:00.000 132         45,3705               3.00                                    0.00                                    0
407         2014-08-15 00:00:00.000 132         47,544                3.00                                    3.00                                    0
408         2014-08-12 00:00:00.000 126         47,544                3.00                                    3.00                                    0
409         2014-08-12 00:00:00.000 126         43,2705               3.00                                    0.00                                    0
410         2014-08-17 00:00:00.000 66          41,1705               3.00                                    0.00                                    0
411         2014-08-17 00:00:00.000 66          45,444                3.00                                    0.00                                    0
412         2014-08-17 00:00:00.000 66          41,1705               3.00                                    0.00                                    0
413         2014-08-17 00:00:00.000 66          47,5755               3.00                                    0.00                                    0
414         2014-08-04 00:00:00.000 63          45,4755               3.00                                    0.00                                    0
415         2014-08-04 00:00:00.000 63          49,749                3.00                                    0.00                                    0
416         2014-08-04 00:00:00.000 63          45,4755               3.00                                    0.00                                    0
417         2014-08-09 00:00:00.000 63          43,3755               3.00                                    0.00                                    0
418         2014-08-09 00:00:00.000 63          47,649                3.00                                    0.00                                    0
419         2014-08-09 00:00:00.000 63          43,3755               3.00                                    0.00                                    0
420         2014-08-09 00:00:00.000 63          41,2755               3.00                                    0.00                                    0
421         2014-08-09 00:00:00.000 63          47,5755               3.00                                    0.00                                    0
422         2014-08-12 00:00:00.000 102         47,6805               3.00                                    3.00                                    0
423         2014-08-12 00:00:00.000 102         45,5805               3.00                                    3.00                                    0
424         2014-08-17 00:00:00.000 102         49,854                3.00                                    0.00                                    0
425         2014-08-17 00:00:00.000 102         45,5805               3.00                                    0.00                                    0
426         2014-08-17 00:00:00.000 102         43,4805               3.00                                    0.00                                    0
427         2014-08-06 00:00:00.000 99          47,754                3.00                                    0.00                                    0
428         2014-08-06 00:00:00.000 99          43,4805               3.00                                    3.00                                    0
429         2014-08-11 00:00:00.000 99          41,3805               3.00                                    3.00                                    0
430         2014-08-11 00:00:00.000 99          45,654                3.00                                    0.00                                    0
431         2014-08-11 00:00:00.000 99          41,3805               3.00                                    0.00                                    0
432         2014-08-11 00:00:00.000 99          39,2805               3.00                                    0.00                                    0
433         2014-08-16 00:00:00.000 99          43,554                3.00                                    0.00                                    0
434         2014-08-16 00:00:00.000 99          39,2805               3.00                                    0.00                                    0
435         2014-08-16 00:00:00.000 99          37,1805               3.00                                    0.00                                    0
436         2014-08-14 00:00:00.000 96          41,454                3.00                                    0.00                                    0
437         2014-08-14 00:00:00.000 96          37,1805               3.00                                    0.00                                    0
438         2014-07-29 00:00:00.000 63          47,6805               3.00                                    3.00                                    0
439         2014-07-29 00:00:00.000 63          45,5805               3.00                                    3.00                                    0
440         2014-08-04 00:00:00.000 63          49,854                3.00                                    0.00                                    0
441         2014-08-04 00:00:00.000 63          45,5805               3.00                                    0.00                                    0
442         2014-08-04 00:00:00.000 63          43,4805               3.00                                    0.00                                    0
443         2014-08-09 00:00:00.000 63          47,754                3.00                                    0.00                                    0
444         2014-08-09 00:00:00.000 63          43,4805               3.00                                    0.00                                    0
445         2014-08-14 00:00:00.000 63          41,3805               3.00                                    0.00                                    0
446         2014-08-14 00:00:00.000 63          45,654                3.00                                    0.00                                    0
447         2014-08-14 00:00:00.000 63          47,6805               3.00                                    0.00                                    0
448         2014-08-14 00:00:00.000 63          45,5805               3.00                                    0.00                                    0
449         2014-08-01 00:00:00.000 60          49,854                3.00                                    0.00                                    0
450         2014-08-07 00:00:00.000 60          45,5805               3.00                                    0.00                                    0
451         2014-08-07 00:00:00.000 60          43,4805               3.00                                    0.00                                    0
452         2014-08-07 00:00:00.000 60          47,754                3.00                                    0.00                                    0
453         2014-08-07 00:00:00.000 60          43,4805               3.00                                    0.00                                    0
454         2014-08-07 00:00:00.000 60          47,523                3.00                                    0.00                                    0
455         2014-08-12 00:00:00.000 60          45,654                3.00                                    0.00                                    0
456         2014-08-12 00:00:00.000 60          49,6965               3.00                                    0.00                                    0
457         2014-08-12 00:00:00.000 60          45,423                3.00                                    0.00                                    0
458         2014-08-12 00:00:00.000 60          43,554                3.00                                    0.00                                    0
459         2014-08-12 00:00:00.000 60          47,5965               3.00                                    0.00                                    0
460         2014-08-12 00:00:00.000 60          43,323                3.00                                    0.00                                    0
461         2014-07-23 00:00:00.000 33          41,454                3.00                                    0.00                                    0
462         2014-08-16 00:00:00.000 153         47,6805               3.00                                    3.00                                    0
463         2014-08-11 00:00:00.000 45          47,523                3.00                                    3.00                                    0
464         2014-08-11 00:00:00.000 45          45,423                3.00                                    3.00                                    0
465         2014-08-16 00:00:00.000 45          49,6965               3.00                                    0.00                                    0
466         2014-08-16 00:00:00.000 45          45,423                3.00                                    0.00                                    0
467         2014-08-16 00:00:00.000 45          43,323                3.00                                    0.00                                    0
468         2014-08-06 00:00:00.000 42          47,5965               3.00                                    0.00                                    0
469         2014-08-06 00:00:00.000 42          43,323                3.00                                    0.00                                    0
470         2014-08-06 00:00:00.000 42          41,223                3.00                                    0.00                                    0
471         2014-08-06 00:00:00.000 42          45,4965               3.00                                    0.00                                    0
472         2014-08-06 00:00:00.000 42          41,223                3.00                                    0.00                                    0
473         2014-08-06 00:00:00.000 42          39,123                3.00                                    0.00                                    0
474         2014-08-06 00:00:00.000 42          43,3965               3.00                                    0.00                                    0
475         2014-08-06 00:00:00.000 42          39,123                3.00                                    0.00                                    0
476         2014-07-24 00:00:00.000 8250        15,8865               550.00                                  0.00                                    780
477         2014-07-24 00:00:00.000 8250        11,6655               550.00                                  55.00                                   819
478         2014-07-30 00:00:00.000 8250        11,088                550.00                                  0.00                                    825
479         2014-07-30 00:00:00.000 8250        15,8865               550.00                                  0.00                                    825
480         2014-07-30 00:00:00.000 8250        11,6655               550.00                                  27.00                                   822
481         2014-08-05 00:00:00.000 8250        11,088                550.00                                  82.00                                   774
482         2014-08-05 00:00:00.000 8250        8,757                 550.00                                  0.00                                    825
483         2014-08-10 00:00:00.000 8250        9,6915                550.00                                  55.00                                   819
484         2014-08-10 00:00:00.000 8250        6,8775                550.00                                  0.00                                    825
485         2014-08-10 00:00:00.000 8250        7,8015                550.00                                  27.00                                   813
486         2014-08-10 00:00:00.000 8250        8,757                 550.00                                  0.00                                    825
487         2014-08-15 00:00:00.000 8250        5,8065                550.00                                  0.00                                    825
488         2014-08-15 00:00:00.000 8250        8,862                 550.00                                  550.00                                  737
489         2014-08-15 00:00:00.000 8250        10,4685               550.00                                  550.00                                  770
490         2014-08-17 00:00:00.000 300         12,7155               3.00                                    3.00                                    0
491         2014-08-16 00:00:00.000 303         19,9815               3.00                                    3.00                                    0
492         2014-08-16 00:00:00.000 3780        50,7465               60.00                                   60.00                                   335
493         2014-08-16 00:00:00.000 3780        58,2645               60.00                                   60.00                                   345
494         2014-08-16 00:00:00.000 3780        53,2035               60.00                                   3.00                                    377
495         2014-08-16 00:00:00.000 3780        63,693                60.00                                   9.00                                    375
496         2014-08-16 00:00:00.000 3780        49,6545               60.00                                   3.00                                    370
497         2014-08-14 00:00:00.000 153         34,188                3.00                                    3.00                                    0
504         2014-08-14 00:00:00.000 153         48,762                3.00                                    3.00                                    0
505         2014-08-16 00:00:00.000 150         44,2155               3.00                                    3.00                                    0
506         2014-08-14 00:00:00.000 3060        9,198                 60.00                                   60.00                                   290
507         2014-08-15 00:00:00.000 56100       23,394                550.00                                  550.00                                  5302
508         2014-08-15 00:00:00.000 56100       29,2845               550.00                                  550.00                                  5407
509         2014-08-16 00:00:00.000 22000       36,2775               550.00                                  0.00                                    2200
510         2014-08-16 00:00:00.000 50600       23,4045               550.00                                  550.00                                  4798
511         2014-08-16 00:00:00.000 50600       29,274                550.00                                  550.00                                  4918
512         2014-08-13 00:00:00.000 50050       37,086                550.00                                  550.00                                  4860
513         2014-08-17 00:00:00.000 55550       39,1965               550.00                                  550.00                                  5155
523         2014-08-16 00:00:00.000 56100       10,731                550.00                                  550.00                                  5219
524         2014-08-16 00:00:00.000 56100       14,1225               550.00                                  550.00                                  5313
525         2014-08-15 00:00:00.000 28050       2,3205                550.00                                  550.00                                  2660
526         2014-08-15 00:00:00.000 28050       3,6435                550.00                                  550.00                                  2660
527         2014-08-16 00:00:00.000 28050       6,7515                550.00                                  550.00                                  2642
528         2014-08-16 00:00:00.000 150         38,157                3.00                                    0.00                                    0
530         2014-08-13 00:00:00.000 28050       16,086                550.00                                  82.00                                   2724
535         2014-08-15 00:00:00.000 23100       3,486                 550.00                                  0.00                                    2310
679         2014-08-14 00:00:00.000 45650       6,195                 550.00                                  27.00                                   4556
707         2014-03-13 00:00:00.000 25          13,0863               20.00                                   0.00                                    2
708         2014-09-22 00:00:00.000 25          13,0863               20.00                                   0.00                                    2
709         2014-10-22 00:00:00.000 150         3,40                  150.00                                  0.00                                    15
710         2014-10-22 00:00:00.000 150         3,40                  150.00                                  0.00                                    15
711         2014-07-02 00:00:00.000 300         13,08                 20.00                                   0.00                                    2
712         2014-06-13 00:00:00.000 630         6,92                  630.00                                  0.00                                    63
713         2013-12-03 00:00:00.000 600         38,49                 600.00                                  0.00                                    60
714         2013-12-03 00:00:00.000 350         38,49                 350.00                                  0.00                                    35
715         2013-12-03 00:00:00.000 100         38,49                 100.00                                  0.00                                    10
716         2013-12-03 00:00:00.000 750         38,75                 750.00                                  0.00                                    75
841         2014-02-26 00:00:00.000 300         24,75                 300.00                                  0.00                                    30
842         2014-02-17 00:00:00.000 225         51,56                 225.00                                  0.00                                    22
843         2014-01-11 00:00:00.000 75          10,31                 75.00                                   0.00                                    7
844         2014-01-11 00:00:00.000 300         8,25                  300.00                                  0.00                                    30
845         2014-01-11 00:00:00.000 250         10,30                 250.00                                  0.00                                    25
846         2014-01-11 00:00:00.000 175         5,77                  175.00                                  0.00                                    17
