Cons;﻿ProductID;Name;ProductModel;CultureID;Clasification
0;994 ;LL Bottom Bracket ;LL Bottom Bracket ;en;No clasificated
1;995 ;ML Bottom Bracket ;ML Bottom Bracket ;en;No clasificated
2;996 ;HL Bottom Bracket ;HL Bottom Bracket ;en;No clasificated
3;984 ;Mountain-500 Silver, 40 ;Mountain-500 ;en;Mountain
4;985 ;Mountain-500 Silver, 42 ;Mountain-500 ;en;Mountain
5;986 ;Mountain-500 Silver, 44 ;Mountain-500 ;en;Mountain
6;987 ;Mountain-500 Silver, 48 ;Mountain-500 ;en;Mountain
7;988 ;Mountain-500 Silver, 52 ;Mountain-500 ;en;Mountain
8;989 ;Mountain-500 Black, 40 ;Mountain-500 ;en;Mountain
9;990 ;Mountain-500 Black, 42 ;Mountain-500 ;en;Mountain
10;993 ;Mountain-500 Black, 52 ;Mountain-500 ;en;Mountain
11;980 ;Mountain-400-W Silver, 38 ;Mountain-400-W ;en;Mountain
12;981 ;Mountain-400-W Silver, 40 ;Mountain-400-W ;en;Mountain
13;982 ;Mountain-400-W Silver, 42 ;Mountain-400-W ;en;Mountain
14;983 ;Mountain-400-W Silver, 46 ;Mountain-400-W ;en;Mountain
15;785 ;Mountain-300 Black, 38 ;Mountain-300 ;en;Mountain
16;786 ;Mountain-300 Black, 40 ;Mountain-300 ;en;Mountain
17;787 ;Mountain-300 Black, 44 ;Mountain-300 ;en;Mountain
18;788 ;Mountain-300 Black, 48 ;Mountain-300 ;en;Mountain
19;779 ;Mountain-200 Silver, 38 ;Mountain-200 ;en;Mountain
20;780 ;Mountain-200 Silver, 42 ;Mountain-200 ;en;Mountain
21;781 ;Mountain-200 Silver, 46 ;Mountain-200 ;en;Mountain
22;782 ;Mountain-200 Black, 38 ;Mountain-200 ;en;Mountain
23;783 ;Mountain-200 Black, 42 ;Mountain-200 ;en;Mountain
24;784 ;Mountain-200 Black, 46 ;Mountain-200 ;en;Mountain
25;771 ;Mountain-100 Silver, 38 ;Mountain-100 ;en;Mountain
26;772 ;Mountain-100 Silver, 42 ;Mountain-100 ;en;Mountain
